"﻿Trade ID","Instrument","Date","Trade Decision","Story and View Building","Trade Bias","Opportunity","WHAT-IF","Confirmation","Executed","Outcome","Learnings","Risk Per Trade","PIP Size","Lot Size","Entry Price","Stop Loss","Target","No. Lots","Total Amt","Margin Amt","RR","Target PriceMovement","Target PipMovenment	","MaxProfitPerLot","MaxProfitAllLots","pnlPercentageAsPerAllLotsForTarget","SL PriceMovement","SL PipMovenment	","MaxLossPerLot","MaxLossAllLots","pnlPercentageAsPerAllLotsForSL","tradestate","duration","chartimage","comment","actualRR","actualPnL"
"1","usdinr","Sun Apr 17 14:03:40 IST 2022","Buy","Weekly - uptrend and currently on retracement
Price likely to move up toward supply zone and  reverse
Daily- price likely to hit next supply zone and reverse to continue downtrend","Buy on 3m till price move towards supply zone","3m if price retraces to demand zone and show reversal confirmation","no trade if price does not retraces to demand zone","","NO","","Price reversed before demand zone and went on to hit target","1000","0.0025","1000","76.136","76.108","76.25","10","761360","14980","4","0.114","45.6","114","1140","7.61","-0.028","-11.2","-28","-280","-1.87","No Confirmation","1","https://iili.io/VWxREu.png","","3","233"
"2","usdinr","Mon Apr 18 20:16:03 IST 2022","Sell","Weekly-strong uptrend with retracement touching demand zone with markup
Daily-downtrend with 2 LL
4H- fast move downside and slow move upside","bearish ","15m reversal from supply zone","no trade if no reversal confirmation from supply zoen","15m 19APR2022 10:45","NO","","Future price spot price confusion during entry lead to early exit","1000","0.0025","1000","76.217","76.286","75.953","1","76217","1866","4","0.264","105.6","264","264","14.15","-0.069","-27.6","-69","-69","-3.7","Target Early Exit","0","https://iili.io/VX1zPf.png","target did not met
zerodha trade id (84083,106899)","2.1","145"
"3","usdinr","Tue Apr 19 20:55:07 IST 2022","Sell","Weekly-strong uptrend with retracement touching demand zone with markup 
Daily-downtrend with 3 LL 
4H- inverted hammer on supply zone","bearish","15m reversal from supply zone above liquidity of equal high","no trade if no reversal","","NO","","Price reversed before extreme zone","1000","0.0025","1000","76.377","76.41","76.286","2","152754","3760","3","0.091","36.4","91","182","4.84","-0.033","-13.2","-33","-66","-1.76","No Confirmation","0","https://iili.io/VhSToG.png","","",""
"4","usdinr","Wed Apr 20 12:02:57 IST 2022","Sell","Weekly- strong uptrend, next move seems to be bullish
Daily- Downtrend with 3LL, price near supply zone
4H-Sluggish move upside compare to downside moves, price tapped in supply zone","Bearish wrt. LH in D/4H/1H/15m","15m above liquidity, reversal from supply zone ","no trade if no reversal from supply zone","","NO","","went on to tap higher timeframe supply zone","1000","0.0025","1000","76.297","76.321","76.166","4","305188","7530","5","0.131","52.4","131","524","6.96","-0.024","-9.6","-24","-96","-1.27","SL Exit","0","https://iili.io/VwcL4j.png","","0","-96"
"5","usdinr","Thu Apr 21 10:45:08 IST 2022","Sell","Weekly-Uptrend, near supply zone
Daily- 2 BoS upside and liquidity found near supply zone
4H- sluggish move upside and fast move down side","bearish","15 sell from supply zone","no sell if no reversal from supply zone","","NO","","","1000","0.0025","1000","76.218","76.273","76.036","4","304872","7432","3","0.182","72.8","182","728","9.8","-0.055","-22","-55","-220","-2.96","No Confirmation","0","https://iili.io/VNEcI2.png","","",""
"6","usdinr","Fri Apr 22 00:39:13 IST 2022","Sell","weekly-uptrend, price already tapped supply zone
Daily-downtrend with new lower high
4H- 2LL","bearish","15m sell","no trade of no reversal from supply zone","","NO","","","1000","0.0025","1000","76.142","76.16","76.04","4","304568","7430","6","0.102","40.8","102","408","5.49","-0.018","-7.2","-18","-72","-0.97","Target Exit","0","https://iili.io/VOIk7t.png","Missed due to waking up late","3","102"
"7","usdinr","Fri Apr 22 16:38:51 IST 2022","Buy","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","3m supply zone,bad idea to long supply zone and impulse move towards zone","1000","0.0025","1000","76.38","76.3725","76.435","4","305520","7500","7","0.055","22","55","220","2.93","-0.0075","-3","-7.5","-30","-0.4","SL Exit","0","","3m supply zone, bad idea to long supply zone and impulse move towards zone
tradeIds
92982
93207
","0","-30"
"8","usdinr","Fri Apr 22 16:43:17 IST 2022","Sell","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","3m supply zone not respected, and impulse move towards zone","1000","0.0025","1000","76.3825","76.445","76.2625","4","305530","7120","2","0.12","48","120","480","6.74","-0.0625","-25","-62.5","-250","-3.51","SL Exit","0","","tradeid 178367,239880","0","-250"
"9","usdinr","Fri Apr 22 16:45:28 IST 2022","Sell","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","3m supply zone tested again but in first move it was impulse move towards zone","1000","0.0025","1000","76.3975","76.445","76.2625","3","229192.5","5565","3","0.135","54","135","405","7.28","-0.0475","-19","-47.5","-142.5","-2.56","SL Exit","0","","trade id 195935,
239881
","0","-142.5"
"10","usdinr","Fri Apr 22 16:49:21 IST 2022","Sell","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","sell in demand zone bad idea,old supply zone already tested","1000","0.0025","1000","76.3975","76.425","76.2625","3","229192.5","5565","5","0.135","54","135","405","7.28","-0.0275","-11","-27.5","-82.5","-1.48","SL Exit","0","","trade id 336726,
340556
","0","-82.5"
"11","usdinr","Sat Apr 23 17:41:42 IST 2022","Buy","Weekly-Uptrend, mark up from demand zone
Daily- Mark up with Morning start (hammer)
4H- mark up with 2 equal highs, also big inverted H&S ","bullish with Morning start (hammer) at end of mark down","15 buy","","","NO","","","1000","0.0025","1000","76.42","76.37","76.5975","1","76420","1875","4","0.1775","71","177.5","177.5","9.47","-0.05","-20","-50","-50","-2.67","Ignore","0","https://iili.io/VkRXwP.png","","",""
